Region Name,Territory,Distributor Code,RECORD TYPE,Distributor Name,PAN Number,GST Number,Address1,City,State,Pincode,Email Id,Contact Number,Contact Person,Distributor Status,Distributor CreatedOn,Distributor DeactivatedOn,ASM,RSEM,MIS,RSM,CE,O2C,SNF,MDM,DT Team,SALES DIRECTOR,SUPPLY
EAST,ASM-TT-Chennai,MWN000055,EXISTING,DB Firm 3,PA9763NJF,N/A,N/A,N/A,N/A,N/A,DBName3@gmail.com,6767676767,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000056,EXISTING,DB Firm 4,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName4@gmail.com,5656565656,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000058,EXISTING,DB Firm 5,PAN9876NJF,N/A,N/A,N/A,N/A,N/A,DBName5@gmail.com,8989898989,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000059,EXISTING,DB Firm 6,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName6@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000060,EXISTING,DB Firm 7,PAN9876NJF,N/A,N/A,N/A,N/A,N/A,DBName7@gmail.com,7878787878,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000061,EXISTING,DB Firm 8,PA9763NJF,N/A,N/A,N/A,N/A,N/A,DBName8@gmail.com,6767676767,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000062,EXISTING,DB Firm 9,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName9@gmail.com,5656565656,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000063,EXISTING,DB Firm 10,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName10@gmail.com,5656565656,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWW000064,ONBOARDING,Gagan Traders,N/A,N/A,N/A,delhi,N/A,N/A,gagan0012@gmail.com,8287859240,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000065,ONBOARDING,GSA enterprises &12,N/A,N/A,N/A,Ambala he,N/A,N/A,Gunanajansingh**@yahoo.com,9898989898,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000066,ONBOARDING,oho,N/A,N/A,N/A,N/A,N/A,N/A,sdfkjkl@jk.o,8888888888,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000067,ONBOARDING,GSA 2 june,N/A,N/A,N/A,Delhi,N/A,N/A,funa@jfl.c,8989888888,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2,O2CNo,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000068,ONBOARDING,SD Enterprises,N/A,N/A,N/A,Ghitorini,N/A,N/A,saurabhdixit87.hcl@gmail.com,9936214851,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,Saurabh Dixit,Sumit Kumar,MDMNorthUAT2a,O2CNorthUAT2,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000069,ONBOARDING,ABC @123 Enterprises,N/A,N/A,N/A,Fake Town,N/A,N/A,jiteshsthakur@gmail.com,9993335453,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000070,ONBOARDING,To be Rejected by RSEM,N/A,N/A,N/A,N/A,N/A,N/A,noemail@to.me,9993335453,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWW000071,ONBOARDING,Testing100,N/A,N/A,N/A,delhi,N/A,N/A,Testing100@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000072,ONBOARDING,Testing0005,N/A,N/A,N/A,delhi,N/A,N/A,Testing0005@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000073,ONBOARDING,testing123,N/A,N/A,N/A,Delhi,N/A,N/A,testing123db@gmail.com,9876567890,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000074,EXISTING,DB Firm 11,PAN9876NJF,N/A,N/A,N/A,N/A,N/A,DBName11@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000075,EXISTING,DB Firm 12,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName12@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000076,EXISTING,DB Firm 13,PAN9876NJF,N/A,N/A,N/A,N/A,N/A,DBName13@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000077,EXISTING,DB Firm 14,PA9763NJF,N/A,N/A,N/A,N/A,N/A,DBName14@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000078,EXISTING,DB Firm 15,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName15@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000079,EXISTING,DB Firm 16,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName16@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000080,EXISTING,DB Firm 17,PAN9876NJF,N/A,N/A,N/A,N/A,N/A,DBName17@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000081,EXISTING,DB Firm 18,PAN983NJF,N/A,N/A,N/A,N/A,N/A,DBName18@gmail.com,9898989898,N/A,Active ,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000082,ONBOARDING,RDX Trading Company,N/A,N/A,N/A,Alappuzha,N/A,N/A,abc@gmail.com,9876543210,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000083,ONBOARDING,testing00044,N/A,N/A,N/A,delhi,N/A,N/A,testing00044@gmail.com,8287859248,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,testing111,mdm new test,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWN000084,ONBOARDING,testing00066,N/A,N/A,N/A,delhi,N/A,N/A,testing00066@gmail.com,8287859248,N/A,N/A,N/A,N/A,RSEMName1,RSMName1,ASMName1,testing111,mdm new test,O2CName1,MISName1,CEName1,SNFName1,,
EAST,ASM-TT-Chennai,MWN000085,ONBOARDING,MAHI TRADERS,N/A,N/A,N/A,Kanpur,N/A,N/A,pawanverma1920@gmail.com,7668008181,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,Saurabh Dixit,Sumit Kumar,MDMNorthUAT2a,O2CNorthUAT2,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000086,ONBOARDING,Kollam UAT Db,N/A,N/A,N/A,Kollam,N/A,N/A,kollamuat@gmail.com,9123456789,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000087,ONBOARDING,Calicutupc UAT,N/A,N/A,N/A,Calicut,N/A,N/A,calicutupc@gmail.com,9123456789,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWN000088,ONBOARDING,Test SD 00-1,N/A,N/A,N/A,aaya Nagar,N/A,N/A,TEST0001SD@GMAIL.COM,8723456701,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,Saurabh Dixit,Sumit Kumar,MDMNorthUAT2a,O2CNorthUAT2,MISNorthUAT2,CENorthUAT2,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWW000090,ONBOARDING,xyz0012,N/A,N/A,N/A,delhi,N/A,N/A,xyz0012@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWW000091,ONBOARDING,abhi,N/A,N/A,N/A,delhi,N/A,N/A,abhi123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000093,ONBOARDING,Dukaan,N/A,N/A,N/A,delhi,N/A,N/A,abhi123@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWW000094,ONBOARDING,Dukaan ,N/A,N/A,N/A,delhi,N/A,N/A,dukaandar123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000095,ONBOARDING,Dukaan,N/A,N/A,N/A,delhi,N/A,N/A,dukaandar123@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWN000096,ONBOARDING,xyz,N/A,N/A,N/A,Baldeo,N/A,N/A,xyz123@gmail.com,8287859248,N/A,N/A,N/A,N/A,RSEMNorthUAT2,RSMNorthUAT2,ASMNorthUAT2,DTTeamNorthUAT2,MDMNorthUAT2a,O2CNo,MISNorthUAT2,O2CNo,SNFNorthUAT2,,
EAST,ASM-TT-Chennai,MWW000097,ONBOARDING,sachin,N/A,N/A,N/A,East Delhi,N/A,N/A,abhisharma05052002@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
EAST,ASM-TT-Chennai,MWW000098,ONBOARDING,sachin,N/A,N/A,N/A,Dandeli,N/A,N/A,abhisharma050502002@gmail.com,8287859248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
EAST,ASM-TT-Chennai,MWW000099,ONBOARDING,abhishek,N/A,N/A,N/A,delhi ,N/A,N/A,abhishek1011@gmail.com,8287859248,N/A,N/A,N/A,N/A,resmchennai,rsmsouth,asmsouth,DT-Coimbature,mdm,rsem-coimbature,mis,cesouth,snf,,
